Type,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","@__security_check_cookie@4",2,0,1.71,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE81,"@__security_check_cookie@4","perfplay.exe",6360,
"Caller","_free",2,0,1.71,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583B4E,"@__security_check_cookie@4","perfplay.exe",6360,
"Callee","_RtlGetNtGlobalFlags@0",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FF1B,"@__security_check_cookie@4","perfplay.exe",6360,
"Root","__EH_epilog3",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B9613,"__EH_epilog3","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__EH_epilog3","perfplay.exe",6360,
"Root","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"__flsbuf","perfplay.exe",6360,
"Caller","_fputc",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"__flsbuf","perfplay.exe",6360,
"Callee","__write",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__flsbuf","perfplay.exe",6360,
"Root","__lock",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78542EFA,"__lock","perfplay.exe",6360,
"Caller","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"__lock","perfplay.exe",6360,
"Callee","_RtlEnterCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C901000,"__lock","perfplay.exe",6360,
"Root","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"__lock_file","perfplay.exe",6360,
"Caller","_fputc",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"__lock_file","perfplay.exe",6360,
"Callee","__lock",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78542EFA,"__lock_file","perfplay.exe",6360,
"Root","__Mtxlock",2,1,1.71,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B93DA,"__Mtxlock","perfplay.exe",6360,
"Caller","std::_Lockit::_Lockit(int)",2,1,1.71,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B5AC4,"__Mtxlock","perfplay.exe",6360,
"Callee","_RtlEnterCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C901000,"__Mtxlock","perfplay.exe",6360,
"Root","__SEH_epilog",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E906,"__SEH_epilog","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__SEH_epilog","perfplay.exe",6360,
"Root","__SEH_epilog",1,1,0.85,0.85,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C802511,"__SEH_epilog","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,1,0.85,0.85,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"__SEH_epilog","perfplay.exe",6360,
"Root","__SEH_prolog",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E8CB,"__SEH_prolog","perfplay.exe",6360,
"Caller","_RtlAllocateHeap@12",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9100C4,"__SEH_prolog","perfplay.exe",6360,
"Caller","std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::do_put(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,unsigned long)const ",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784A979E,"__SEH_prolog","perfplay.exe",6360,
"Root","__SEH_prolog4",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858CF00,"__SEH_prolog4","perfplay.exe",6360,
"Caller","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool,unsigned int)",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78485DFB,"__SEH_prolog4","perfplay.exe",6360,
"Root","__unlock_fhandle",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858A511,"__unlock_fhandle","perfplay.exe",6360,
"Caller","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__unlock_fhandle","perfplay.exe",6360,
"Callee","_RtlLeaveCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9010E0,"__unlock_fhandle","perfplay.exe",6360,
"Root","__write",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Caller","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"__write","perfplay.exe",6360,
"Caller","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Callee","__unlock_fhandle",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858A511,"__write","perfplay.exe",6360,
"Callee","__write",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write","perfplay.exe",6360,
"Callee","__write_nolock",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589560,"__write","perfplay.exe",6360,
"Callee","_WriteFile@20",1,1,0.85,0.85,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C810E27,"__write","perfplay.exe",6360,
"Root","__write_nolock",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589560,"__write_nolock","perfplay.exe",6360,
"Caller","__write",4,0,3.42,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589C98,"__write_nolock","perfplay.exe",6360,
"Callee","_GetConsoleMode@8",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81AC50,"__write_nolock","perfplay.exe",6360,
"Callee","_WriteConsoleInternal@20",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81CC25,"__write_nolock","perfplay.exe",6360,
"Root","_ExpInterlockedPopEntrySListResume@0",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C902A90,"_ExpInterlockedPopEntrySListResume@0","perfplay.exe",6360,
"Caller","_RtlpAllocateFromHeapLookaside@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9101F1,"_ExpInterlockedPopEntrySListResume@0","perfplay.exe",6360,
"Root","_fputc",7,0,5.98,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854EA07,"_fputc","perfplay.exe",6360,
"Caller","std::_Fputc<char>(char,struct _iobuf *)",7,0,5.98,0.00,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x7848C229,"_fputc","perfplay.exe",6360,
"Callee","__flsbuf",6,0,5.13,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F383,"_fputc","perfplay.exe",6360,
"Callee","__lock_file",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7854F291,"_fputc","perfplay.exe",6360,
"Root","_free",6,1,5.13,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583B4E,"_free","perfplay.exe",6360,
"Caller","PigLatin(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)",5,1,4.27,0.85,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",53,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x004012C0,"_free","perfplay.exe",6360,
"Caller","Unknown Frame(s)",1,0,0.85,0.00,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_free","perfplay.exe",6360,
"Callee","@__security_check_cookie@4",2,0,1.71,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE81,"_free","perfplay.exe",6360,
"Callee","_wcslen",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE58,"_free","perfplay.exe",6360,
"Callee","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Tidy(bool,unsigned int)",1,0,0.85,0.00,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78485DFB,"_free","perfplay.exe",6360,
"Callee","std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::do_put(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,unsigned long)const ",1,0,0.85,0.00,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784A979E,"_free","perfplay.exe",6360,
"Root","_GetConsoleMode@8",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81AC50,"_GetConsoleMode@8","perfplay.exe",6360,
"Caller","__write_nolock",2,0,1.71,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78589560,"_GetConsoleMode@8","perfplay.exe",6360,
"Callee","_LdrUnlockLoaderLock@8",2,0,1.71,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C912D5C,"_GetConsoleMode@8","perfplay.exe",6360,
"Root","_KiFastSystemCallRet@0",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E514,"_KiFastSystemCallRet@0","perfplay.exe",6360,
"Caller","_NtRequestWaitReplyPort@12",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90DADE,"_KiFastSystemCallRet@0","perfplay.exe",6360,
"Root","_LdrUnlockLoaderLock@8",4,1,3.42,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C912D5C,"_LdrUnlockLoaderLock@8","perfplay.exe",6360,
"Caller","_GetConsoleMode@8",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81AC50,"_LdrUnlockLoaderLock@8","perfplay.exe",6360,
"Caller","_TerminateThread@8",2,1,1.71,0.85,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81CB48,"_LdrUnlockLoaderLock@8","perfplay.exe",6360,
"Callee","_NtRequestWaitReplyPort@12",3,1,2.56,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90DADE,"_LdrUnlockLoaderLock@8","perfplay.exe",6360,
"Root","_main",113,0,96.58,0.00,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",72,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x00401690,"_main","perfplay.exe",6360,
"Caller","_mainCRTStartup",83,0,70.94,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",393,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x00402C8E,"_main","perfplay.exe",6360,
"Caller","Unknown Frame(s)",30,0,25.64,0.00,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_main","perfplay.exe",6360,
"Callee","PigLatin(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)",112,0,95.73,0.00,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",53,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x004012C0,"_main","perfplay.exe",6360,
"Callee","std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(char const *)",1,0,0.85,0.00,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78487149,"_main","perfplay.exe",6360,
"Root","_mainCRTStartup",117,0,100.00,0.00,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",393,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x00402C8E,"_mainCRTStartup","perfplay.exe",6360,
"Callee","_main",83,0,70.94,0.00,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",72,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x00401690,"_mainCRTStartup","perfplay.exe",6360,
"Callee","Unknown Frame(s)",34,0,29.06,0.00,"<Unknown>",0,"UNKNOWN","UNKNOWN",0xBAADF00D,"_mainCRTStartup","perfplay.exe",6360,
"Root","_malloc",2,0,1.71,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583D3F,"_malloc","perfplay.exe",6360,
"Caller","operator new(unsigned int)",2,0,1.71,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583E99,"_malloc","perfplay.exe",6360,
"Callee","_RtlAllocateHeap@12",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9100C4,"_malloc","perfplay.exe",6360,
"Callee","_RtlFreeHeap@12",1,0,0.85,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FFD9,"_malloc","perfplay.exe",6360,
"Root","_memchr",4,4,3.42,3.42,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7855B190,"_memchr","perfplay.exe",6360,
"Caller","std::char_traits<char>::find(char const *,unsigned int,char const &)",4,4,3.42,3.42,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78484F37,"_memchr","perfplay.exe",6360,
"Root","_memcpy",16,16,13.68,13.68,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7855AE20,"_memcpy","perfplay.exe",6360,
"Caller","_memcpy_s",16,16,13.68,13.68,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x785569A3,"_memcpy","perfplay.exe",6360,
"Root","_memcpy_s",19,3,16.24,2.56,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x785569A3,"_memcpy_s","perfplay.exe",6360,
"Caller","std::char_traits<char>::_Copy_s(char *,unsigned int,char const *,unsigned int)",19,3,16.24,2.56,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x78484F13,"_memcpy_s","perfplay.exe",6360,
"Callee","_memcpy",16,16,13.68,13.68,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7855AE20,"_memcpy_s","perfplay.exe",6360,
"Root","_NtRequestWaitReplyPort@12",3,1,2.56,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90DADE,"_NtRequestWaitReplyPort@12","perfplay.exe",6360,
"Caller","_LdrUnlockLoaderLock@8",3,1,2.56,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C912D5C,"_NtRequestWaitReplyPort@12","perfplay.exe",6360,
"Callee","_KiFastSystemCallRet@0",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E514,"_NtRequestWaitReplyPort@12","perfplay.exe",6360,
"Root","_RtlAllocateHeap@12",2,1,1.71,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9100C4,"_RtlAllocateHeap@12","perfplay.exe",6360,
"Caller","_malloc",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583D3F,"_RtlAllocateHeap@12","perfplay.exe",6360,
"Caller","operator new(unsigned int)",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583E99,"_RtlAllocateHeap@12","perfplay.exe",6360,
"Callee","__SEH_prolog",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90E8CB,"_RtlAllocateHeap@12","perfplay.exe",6360,
"Root","_RtlEnterCriticalSection@4",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C901000,"_RtlEnterCriticalSection@4","perfplay.exe",6360,
"Caller","__lock",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78542EFA,"_RtlEnterCriticalSection@4","perfplay.exe",6360,
"Caller","__Mtxlock",1,1,0.85,0.85,"",0,"MSVCP90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCP90.dll",0x784B93DA,"_RtlEnterCriticalSection@4","perfplay.exe",6360,
"Root","_RtlFreeHeap@12",1,0,0.85,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FFD9,"_RtlFreeHeap@12","perfplay.exe",6360,
"Caller","_malloc",1,0,0.85,0.00,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583D3F,"_RtlFreeHeap@12","perfplay.exe",6360,
"Callee","_RtlpAllocateFromHeapLookaside@4",1,0,0.85,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9101F1,"_RtlFreeHeap@12","perfplay.exe",6360,
"Root","_RtlGetNtGlobalFlags@0",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FF1B,"_RtlGetNtGlobalFlags@0","perfplay.exe",6360,
"Caller","@__security_check_cookie@4",2,2,1.71,1.71,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE81,"_RtlGetNtGlobalFlags@0","perfplay.exe",6360,
"Root","_RtlLeaveCriticalSection@4",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9010E0,"_RtlLeaveCriticalSection@4","perfplay.exe",6360,
"Caller","__unlock_fhandle",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7858A511,"_RtlLeaveCriticalSection@4","perfplay.exe",6360,
"Root","_RtlpAllocateFromHeapLookaside@4",1,0,0.85,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C9101F1,"_RtlpAllocateFromHeapLookaside@4","perfplay.exe",6360,
"Caller","_RtlFreeHeap@12",1,0,0.85,0.00,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FFD9,"_RtlpAllocateFromHeapLookaside@4","perfplay.exe",6360,
"Callee","_ExpInterlockedPopEntrySListResume@0",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C902A90,"_RtlpAllocateFromHeapLookaside@4","perfplay.exe",6360,
"Root","_TerminateThread@8",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81CB48,"_TerminateThread@8","perfplay.exe",6360,
"Caller","_WriteConsoleA@20",2,0,1.71,0.00,"",0,"kernel32.dll","C:\WINDOWS\system32\kernel32.dll",0x7C81CC5D,"_TerminateThread@8","perfplay.exe",6360,
"Callee","_LdrUnlockLoaderLock@8",2,1,1.71,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C912D5C,"_TerminateThread@8","perfplay.exe",6360,
"Root","_tolower",2,2,1.71,1.71,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x7855EC21,"_tolower","perfplay.exe",6360,
"Caller","IsVowel(char)",2,2,1.71,1.71,"c:\documents and settings\gb449c\my documents\visual studio 2008\projects\perfplay\perfplay\perfplay.cpp",14,"perfplay.exe","C:\Documents and Settings\gb449c\My Documents\Visual Studio 2008\Projects\perfPlay\Release\perfplay.exe",0x00401000,"_tolower","perfplay.exe",6360,
"Root","_wcslen",1,1,0.85,0.85,"",0,"ntdll.dll","C:\WINDOWS\system32\ntdll.dll",0x7C90FE58,"_wcslen","perfplay.exe",6360,
"Caller","_free",1,1,0.85,0.85,"",0,"MSVCR90.dll","C:\WINDOWS\WinSxS\x86_Microsoft.VC90.CRT_1fc8b3b9a1e18e3b_9.0.30729.6161_x-ww_31a54e43\MSVCR90.dll",0x78583B4E,"_wcslen","perfplay.exe",6360,
