Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","RtlDecodePointer",570,570,570,570,0.01,0.01,0.01,0.01,0,0,570,570,570,570,570,570,0,570,570,0,570,570,1,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x77979D55,"RtlDecodePointer","perfPlay.exe",3836,
"Caller","__onexit",570,570,570,570,0.01,0.01,0.01,0.01,0,0,0,570,570,0,570,570,0,570,570,0,570,570,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\atonexit.c",79,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1868,"RtlDecodePointer","perfPlay.exe",3836,
"Root","RtlEncodePointer",1362,1362,1362,1362,0.04,0.04,0.04,0.04,0,0,1362,1362,1362,1362,1362,1362,0,1362,1362,0,1362,1362,1,"",0,"ntdll.dll","C:\Windows\SysWOW64\ntdll.dll",0x7798100B,"RtlEncodePointer","perfPlay.exe",3836,
"Caller","pre_c_init",1362,1362,1362,1362,0.04,0.04,0.04,0.04,0,0,0,1362,1362,0,1362,1362,0,1362,1362,0,1362,1362,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1484,"RtlEncodePointer","perfPlay.exe",3836,
"Root","SetUnhandledExceptionFilter",38337,38337,38337,38337,0.99,0.99,0.99,0.99,0,0,38337,38337,38337,38337,38337,38337,0,38337,38337,0,38337,38337,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B8799,"SetUnhandledExceptionFilter","perfPlay.exe",3836,
"Caller","___CxxSetUnhandledExceptionFilter",38337,38337,38337,38337,0.99,0.99,0.99,0.99,0,0,0,38337,38337,0,38337,38337,0,38337,38337,0,38337,38337,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1805,"SetUnhandledExceptionFilter","perfPlay.exe",3836,
"Root","THUNK:_CIsin",1445686,82819,1445686,82819,37.45,2.15,37.45,2.15,620000,620000,124,144,8044,0,8,2296,0,144,8044,0,8,2296,10000,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E20C0,"THUNK:_CIsin","perfPlay.exe",3836,
"Caller","DoStuffInLib(void)",1445686,82819,1445686,82819,37.45,2.15,37.45,2.15,620000,620000,0,144,8044,0,8,2296,0,144,8044,0,8,2296,10000,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplaylib\somefunc.cpp",20,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1028,"THUNK:_CIsin","perfPlay.exe",3836,
"Callee","__CIsin",1385217,1385217,1385217,1385217,35.89,35.89,35.89,35.89,0,0,0,138,8019,0,138,8019,0,138,8019,0,138,8019,10000,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744C39E0,"THUNK:_CIsin","perfPlay.exe",3836,
"Root","THUNK:_controlfp_s",985,22,985,22,0.03,0.00,0.03,0.00,62,62,985,985,985,22,22,22,0,985,985,0,22,22,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E2091,"THUNK:_controlfp_s","perfPlay.exe",3836,
"Caller","__setdefaultprecision",985,22,985,22,0.03,0.00,0.03,0.00,62,62,0,985,985,0,22,22,0,985,985,0,22,22,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\intel\fp8.c",30,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1DEF,"THUNK:_controlfp_s","perfPlay.exe",3836,
"Callee","__controlfp_s",963,963,963,963,0.02,0.02,0.02,0.02,0,0,0,963,963,0,963,963,0,963,963,0,963,963,1,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DC3B5,"THUNK:_controlfp_s","perfPlay.exe",3836,
"Root","THUNK:_initterm",126365,58,126365,58,3.27,0.00,3.27,0.00,1075,62,126365,126365,126365,58,58,58,0,126365,126365,0,58,58,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D02,"THUNK:_initterm","perfPlay.exe",3836,
"Caller","__tmainCRTStartup",126365,58,126365,58,3.27,0.00,3.27,0.00,1075,62,0,126365,126365,0,58,58,0,126365,126365,0,58,58,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E117E,"THUNK:_initterm","perfPlay.exe",3836,
"Callee","__initterm",126307,495,126307,495,3.27,0.01,3.27,0.01,1013,63,0,126307,126307,0,495,495,0,126307,126307,0,495,495,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",859,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2627,"THUNK:_initterm","perfPlay.exe",3836,
"Root","THUNK:_initterm_e",42576,37,42576,37,1.10,0.00,1.10,0.00,1218,62,42576,42576,42576,37,37,37,0,42576,42576,0,37,37,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E1D25,"THUNK:_initterm_e","perfPlay.exe",3836,
"Caller","__tmainCRTStartup",42576,37,42576,37,1.10,0.00,1.10,0.00,1218,62,0,42576,42576,0,37,37,0,42576,42576,0,37,37,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x000E117E,"THUNK:_initterm_e","perfPlay.exe",3836,
"Callee","__initterm_e",42539,438,42539,438,1.10,0.01,1.10,0.01,1156,126,0,42539,42539,0,438,438,0,42539,42539,0,438,438,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2645,"THUNK:_initterm_e","perfPlay.exe",3836,
