Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","__setdefaultprecision",1109,0,1109,0,0.00,0.00,0.00,0.00,253,191,1109,1109,1109,0,0,0,0,1109,1109,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\intel\fp8.c",30,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41FE7,"__setdefaultprecision","perfPlay.exe",6228,
"Caller","pre_c_init",1109,0,1109,0,0.00,0.00,0.00,0.00,253,191,0,1109,1109,0,0,0,0,1109,1109,0,0,0,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41680,"__setdefaultprecision","perfPlay.exe",6228,
"Callee","THUNK:_controlfp_s",1111,22,1111,22,0.00,0.00,0.00,0.00,62,62,0,1111,1111,0,22,22,0,1111,1111,0,22,22,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A42289,"__setdefaultprecision","perfPlay.exe",6228,
"Root","__tmainCRTStartup",28210799132,1079,28210799132,1079,34.98,0.00,34.98,0.00,43474327,1013,28210799132,28210799132,28210799132,1079,1079,1079,0,28210799132,28210799132,0,1079,1079,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",378,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A4137A,"__tmainCRTStartup","perfPlay.exe",6228,
"Caller","_wmainCRTStartup",28210799132,1079,28210799132,1079,34.98,0.00,34.98,0.00,43474327,1013,0,28210799132,28210799132,0,1079,1079,0,28210799132,28210799132,0,1079,1079,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A417C0,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","__SEH_prolog4",231,231,231,231,0.00,0.00,0.00,0.00,0,0,0,231,231,0,231,231,0,231,231,0,231,231,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A41F48,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","_exit",12302,12107,12302,12107,0.00,0.00,0.00,0.00,127,64,0,12302,12302,0,12107,12107,0,12302,12302,0,12107,12107,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",392,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x71DA7B0C,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","_wmain",28210612832,52463006,28210612832,52463006,34.98,0.07,34.98,0.07,43471042,631,0,28210612832,28210612832,0,52463006,52463006,0,28210612832,28210612832,0,52463006,52463006,1,"c:\users\doug\documents\visual studio 2010\projects\perfplay\perfplay\perfplay.cpp",87,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00A410D2,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","HeapSetInformation",1113,1113,1113,1113,0.00,0.00,0.00,0.00,0,0,0,1113,1113,0,1113,1113,0,1113,1113,0,1113,1113,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D5621,"__tmainCRTStartup","perfPlay.exe",6228,
"Callee","InterlockedCompareExchange",186,186,186,186,0.00,0.00,0.00,0.00,0,0,0,186,186,0,186,186,0,186,186,0,186,186,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x761D1484,"__tmainCRTStartup","perfPlay.exe",6228,
