Type,Function Name,Elapsed Inclusive Time,Elapsed Exclusive Time,Application Inclusive Time,Application Exclusive Time,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Application Inclusive Time %,Application Exclusive Time %,Time Inclusive Probe Overhead,Time Exclusive Probe Overhead,Min Elapsed Inclusive Time,Avg Elapsed Inclusive Time,Max Elapsed Inclusive Time,Min Elapsed Exclusive Time,Avg Elapsed Exclusive Time,Max Elapsed Exclusive Time,Min Application Inclusive Time,Avg Application Inclusive Time,Max Application Inclusive Time,Min Application Exclusive Time,Avg Application Exclusive Time,Max Application Exclusive Time,Number of Calls,Source File,Function Line Number,Module Name,Module Path,Function Address,Root Function Name,Process Name,Process ID,
"Root","___CxxSetUnhandledExceptionFilter",37928,89,37928,89,7.87,0.02,7.87,0.02,190,190,37928,37928,37928,89,89,89,0,37928,37928,0,89,89,1,"f:\dd\vctools\crt_bld\self_x86\crt\prebuild\eh\unhandld.cpp",86,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E5182F,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",1512,
"Caller","__initterm_e",37928,89,37928,89,7.87,0.02,7.87,0.02,190,190,0,37928,37928,0,89,89,0,37928,37928,0,89,89,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",908,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2645,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",1512,
"Callee","SetUnhandledExceptionFilter",37839,37839,37839,37839,7.86,7.86,7.86,7.86,0,0,0,37839,37839,0,37839,37839,0,37839,37839,0,37839,37839,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B8799,"___CxxSetUnhandledExceptionFilter","perfPlay.exe",1512,
"Root","___security_init_cookie",12895,11401,12895,11401,2.68,2.37,2.68,2.37,698,698,12895,12895,12895,11401,11401,11401,0,12895,12895,0,11401,11401,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\gs_support.c",97,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E51E84,"___security_init_cookie","perfPlay.exe",1512,
"Caller","_wmainCRTStartup",12895,11401,12895,11401,2.68,2.37,2.68,2.37,698,698,0,12895,12895,0,11401,11401,0,12895,12895,0,11401,11401,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",361,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E515EE,"___security_init_cookie","perfPlay.exe",1512,
"Callee","GetCurrentProcessId",318,318,318,318,0.07,0.07,0.07,0.07,0,0,0,318,318,0,318,318,0,318,318,0,318,318,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B11F8,"___security_init_cookie","perfPlay.exe",1512,
"Callee","GetCurrentThreadId",168,168,168,168,0.03,0.03,0.03,0.03,0,0,0,168,168,0,168,168,0,168,168,0,168,168,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1450,"___security_init_cookie","perfPlay.exe",1512,
"Callee","GetSystemTimeAsFileTime",513,513,513,513,0.11,0.11,0.11,0.11,0,0,0,513,513,0,513,513,0,513,513,0,513,513,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B34D9,"___security_init_cookie","perfPlay.exe",1512,
"Callee","GetTickCount",243,243,243,243,0.05,0.05,0.05,0.05,0,0,0,243,243,0,243,243,0,243,243,0,243,243,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B110C,"___security_init_cookie","perfPlay.exe",1512,
"Callee","QueryPerformanceCounter",252,252,252,252,0.05,0.05,0.05,0.05,0,0,0,252,252,0,252,252,0,252,252,0,252,252,1,"",0,"kernel32.dll","C:\Windows\syswow64\kernel32.dll",0x751B1725,"___security_init_cookie","perfPlay.exe",1512,
"Root","___set_app_type",543,543,543,543,0.11,0.11,0.11,0.11,0,0,543,543,543,543,543,543,0,543,543,0,543,543,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\errmode.c",87,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DB71B,"___set_app_type","perfPlay.exe",1512,
"Caller","pre_c_init",543,543,543,543,0.11,0.11,0.11,0.11,0,0,0,543,543,0,543,543,0,543,543,0,543,543,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",197,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E514AE,"___set_app_type","perfPlay.exe",1512,
"Root","___wgetmainargs",121221,121221,121221,121221,25.17,25.17,25.17,25.17,0,0,121221,121221,121221,121221,121221,121221,0,121221,121221,0,121221,121221,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtlib.c",95,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744E23B5,"___wgetmainargs","perfPlay.exe",1512,
"Caller","pre_cpp_init",121221,121221,121221,121221,25.17,25.17,25.17,25.17,0,0,0,121221,121221,0,121221,121221,0,121221,121221,0,121221,121221,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",278,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E51120,"___wgetmainargs","perfPlay.exe",1512,
"Root","__CIsin",8526,8526,8526,8526,1.77,1.77,1.77,1.77,0,0,117,4263,8409,117,4263,8409,0,4263,8409,0,4263,8409,2,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744C39E0,"__CIsin","perfPlay.exe",1512,
"Caller","THUNK:_CIsin",8526,8526,8526,8526,1.77,1.77,1.77,1.77,0,0,0,4263,8409,0,4263,8409,0,4263,8409,0,4263,8409,2,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E520E8,"__CIsin","perfPlay.exe",1512,
"Root","__controlfp_s",963,963,963,963,0.20,0.20,0.20,0.20,0,0,963,963,963,963,963,963,0,963,963,0,963,963,1,"",0,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744DC3B5,"__controlfp_s","perfPlay.exe",1512,
"Caller","THUNK:_controlfp_s",963,963,963,963,0.20,0.20,0.20,0.20,0,0,0,963,963,0,963,963,0,963,963,0,963,963,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E520B9,"__controlfp_s","perfPlay.exe",1512,
"Root","__initterm",125785,315,125785,315,26.11,0.07,26.11,0.07,1013,63,125785,125785,125785,315,315,315,0,125785,125785,0,315,315,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crt0dat.c",859,"MSVCR100.dll","C:\Windows\system32\MSVCR100.dll",0x744D2627,"__initterm","perfPlay.exe",1512,
"Caller","THUNK:_initterm",125785,315,125785,315,26.11,0.07,26.11,0.07,1013,63,0,125785,125785,0,315,315,0,125785,125785,0,315,315,1,"",0,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E51D26,"__initterm","perfPlay.exe",1512,
"Callee","pre_cpp_init",125470,89,125470,89,26.05,0.02,26.05,0.02,950,253,0,125470,125470,0,89,89,0,125470,125470,0,89,89,1,"f:\dd\vctools\crt_bld\self_x86\crt\src\crtexe.c",278,"perfPlay.exe","C:\Users\Doug\Documents\Visual Studio 2010\Projects\perfPlay\Release\perfPlay.exe",0x00E51120,"__initterm","perfPlay.exe",1512,
